北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
49843.1,18024.3,47526.9,25494.7,26314.6,32612.7,14361.2,16476.9,53926.7,137008,90130.6,50625.2,57761,34202.5,98565.8,63590,60013,53231,141633.8,28649.4,7935.7,32193.2,64697,22667.1,31534.1,2764.9,35538.8,13002.9,3950.8,5502.8,20534.1
47353.7,17211.8,45660,26050.8,25020.5,31389.8,13942.7,16470.7,51404.5,130924.3,85619.6,48227.5,54801.7,32677.1,94206.4,60627.7,56794.3,50667.5,137905.4,27501.7,7590.2,30614.3,61353.4,21513.7,30595.8,2532.9,33976.5,12345.7,3849.2,5368.8,19603.3
45222.4,16588.5,43198.3,25653.2,23795.7,29739.7,13121.4,16359.2,48594.5,124564.2,80770,45525.1,52099.6,31568.1,89519.4,58807.4,53445.4,47957.9,132547.1,26419.7,6912.8,28771.8,57609.4,20579.5,29301.1,2235.4,33035.6,11553.6,3677.4,5168.1,18550.5
44350.7,16093.2,41205.4,23087.8,21584.8,28471,13431.1,15292.8,47059.4,119853.2,76765.3,43102.8,49602.6,29838.2,84838,57806.9,50093.3,45751.9,127577.4,25311.5,6508.9,28092.5,55131.3,19921.3,27895.3,2145.1,30476.6,10608,3446.3,4666.5,16791.5
38503.6,14230.8,36821.5,18202.7,17623.4,25839,12499.5,14000.1,41603.9,104566.6,67164.5,38628.8,43682,25825.4,74355.9,54160.6,43017.6,41693.7,113708.9,22250.7,5640.8,25158.1,49445.1,18308.3,25214.5,1956.5,26297,9323.1,3080.6,4036.2,14262.2
37767,14097.2,35623.5,17311,17479.4,25665.9,11949.4,13962.5,40241.2,99836.9,64632,37584.8,42479.1,24724,72024.3,53739.3,45557,39930.7,110468.1,21341.5,5442.1,23689.6,47168.6,17251.8,23902.1,1750.3,26214.5,9053.3,3020.2,3841.5,14024.9
35161.4,13411.1,32947,16153.1,16252.9,24113.5,11437.4,13205.7,37769.1,93456.3,59311.7,34377.3,39204.8,23016.9,67864.4,50273.5,42425.5,36629.3,101875.9,19951.7,5004.2,21866.8,43539,15886.6,21427.5,1583.5,24354.8,8364.7,2799.9,3580.6,13110.1
31325.9,12468.2,31065.5,14679.1,15009.9,22105.4,11083,12659.5,34378.3,86512.9,53135.2,30141.8,34432.2,20497.6,63958.6,44586.5,37624.2,34127.7,93004.8,18071.7,4552.9,20260.8,38517.1,14067.3,18864.6,1381,21776.1,7642.6,2517,3271.6,11460.8
28438.7,11487,28879.7,12160.1,13879,20832,10603.5,12280.9,30963.9,78261.2,48095.8,26801.2,30199.2,18761.2,59702.6,40167.7,33767.6,31225,83493.4,16417.2,4151,18271.1,33879.2,12133.9,16773.6,1197.4,19354.6,7207.1,2310.7,2853.3,9913.9
26034.1,10889.2,26744.1,12036.1,13062.7,20657.8,10162.9,12023.2,27821.6,71876,44222,24142.7,27307.5,17031.1,56159.1,36798.2,30661.6,28811.7,75820.8,15030.2,3782.7,16305.9,30829.1,10887.1,15358.6,1063.6,18188.3,6793.4,2054.3,2644.7,9545.7
23577.5,10749.2,25644.1,12307,12377.3,20381.5,10077,12357.1,25964.5,66228.3,40744.1,22880.7,25329.4,15858.6,51552.7,34611.2,28805.9,26309.1,69593.4,13856.7,3541.2,14911.7,29357.5,9297.5,14275.1,954.8,17635.6,6629.4,1875.1,2516.4,9400.2
21746,10075.2,24659.1,12171.8,11584.9,19534.3,9608.6,12017,23809.4,60505.2,38023.3,20888.2,22851.7,14473.4,48058.1,31621.4,25851.7,23916.3,63757.3,12680.6,3201.9,13275.8,26858.4,8079.9,13027,840.3,16106.3,6108.3,1736.1,2364.9,8518.4
19568.3,9193,23437.3,11819.7,10638.9,18127.6,8831.3,11171,21774.9,54658.4,34978.5,18613.7,20510.8,12952.8,43584.3,28878.5,22921,21513.7,58057.6,11496.6,2863.6,11797.8,24224.9,6828.1,11266.3,721.1,14311.5,5469.1,1547.9,2162,7499.5
17653.3,8240.8,21711.7,11005.1,9610.8,16585.3,7857.7,10074,20406.1,49689.5,32353.1,16532.7,18195.2,11717.4,39622,26212.2,20228.3,19176.4,54009.6,10472.7,2525.1,10314.1,21313.1,5690.5,9666.2,620.8,12320.1,4880.7,1388.3,1959.3,6607.6
15420.2,6991.6,18254.1,9004.5,8342.1,14105.8,6505.9,8434.7,18319.6,42175.2,27902.2,13474.6,15236.6,9503.4,34429.4,22568.2,16489.1,15814.9,46821.3,8712,2073.7,8186.5,17466.7,4583.7,7869.9,521.4,9973,3987.7,1160.8,1595.3,5425.4
13335.7,5828.6,15540.3,7231.2,7227,13003.2,5515.3,7315.8,16181.4,35074.6,23227.5,11063.3,12625.1,7733,29957.2,19077.1,13422.6,12965.9,40215.7,7243.4,1652.2,6744.1,14396.2,3910.7,6690.2,453,8094.9,3313.8,953.3,1284.8,4289.5
12167.6,5278.3,14403.8,7295.8,6352.4,12303,4905.4,7215.1,14877.1,31445.7,21607.9,9691.2,11104.2,7028.7,27460.2,17541.9,11707.8,11466.6,37351.5,6561.9,1502,5978.8,12941.4,3551.3,6120.6,405.2,7256.8,3112.5,909.2,1153.7,4183.9
10730.4,4229.8,12317.6,5991.9,5239.6,10422.8,4134.7,6193.7,13179.8,26373.8,18914.7,8078,9474.3,5847.3,22994.5,14773.2,9601.8,9409.9,32308.5,5556.4,1252.8,4837.5,10694.5,2883,5166,349.8,5739.7,2707.3,729.4,887.9,3536.4
8618.9,3592.5,10178.1,4758.7,4212.3,8489.3,3271.5,5386.1,10825.4,21525.1,15516.4,6602.6,7586.2,4752.4,19184,11974.6,7636.7,7529.2,26403.1,4479.8,1040.3,3949,8602.1,2292.3,4157.7,290.6,4642.1,2230,592.7,691.6,2984.5
7327.4,3203.6,8886.2,4118,3562.7,7342.2,2810.1,4804.5,9398.8,18345.9,13212.6,5761.7,6506.9,3991.8,16120.9,10199.5,6548.8,6451.7,22366.1,3789.5,896.1,3491.6,7287.4,1964.2,3553.3,247,3857.4,1890.9,506,587.2,2543
