北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
14092.4,4128.3,14657.4,7670.9,5152.9,10228.9,4232.1,5445.7,15872.3,44922.1,37707.7,22908.4,24370.8,12821.7,40059.2,27560.4,27206.2,20463.9,45029.2,8151.7,2546.1,16190.4,27709.8,9211.5,12490.8,1032.8,10936,4133.2,1028.3,1418.8,3965
14485.9,4261.7,13895.6,7486.6,4933,9836.5,4089.9,5346.8,16385.8,42940.6,36267.9,21887.7,23348.6,12223.1,38152.6,25977.4,25884.2,19415.5,44685.9,8021.8,2658.7,15629.6,26603.6,8887.1,12141.6,963.4,10439.3,3972.3,1035.3,1351.7,3888.5
13818.7,3900.1,12884.3,7188.5,4644.3,9142.2,3765.1,4998.7,14918.2,40803,33236.8,20685.9,21999.4,11765.8,34724.3,24399,23524.9,18463,42762.9,8042,2375.4,14299.6,24328.9,8417.4,11277.9,781.6,10158.5,3662.8,874.8,1336.6,3268.2
14897.3,4029.3,12896.3,7462.8,4811.7,9492.8,4183.9,5376.9,16818.3,41261.1,31200.7,20858.8,21072.2,11431,34863.4,24391.4,22561.1,18176.8,42641.8,8168.3,2587.2,14257,24317.4,8839.5,11063.5,856.6,10076.9,3837.7,976,1334.6,3610
13740.3,3747.1,12322.5,6582.9,4605.1,8785.9,3805.7,4992.2,15189.2,36261.8,27837.7,17991.2,19058.1,9931.7,29921.2,22518.1,18544.3,16019.1,39278.2,7606.1,2022.4,11954.4,20939.4,7798.6,9997.8,774.2,9501.1,3513.2,895,1301.6,3078.3
15072.4,4312.5,12784.8,6942.8,4966.6,9572.9,4201.6,5546.9,15469,37240.6,27948.8,17689.2,19108.9,9849.3,29577.3,23477.2,23066.2,16555.9,42438.4,8079.9,1974,11710.5,21395.4,7449.4,10260.9,787.8,10154.2,3638,957.7,1399.1,3625.2
14422.3,4231.2,11973.9,6523.3,4852.3,9112.8,4073.8,5275,14874.8,35472.6,25161.9,16156.2,17178.4,9045.7,27480.3,21268,20598.2,15134.3,39767.1,7663.5,1852.7,10705.2,19340.7,7105,9197.3,711.8,9510.3,3435.6,899.9,1330.1,3429.1
13933.7,4210.4,11138.5,6058.5,4642.6,8696.4,3992.3,5077.4,13699.5,32818.2,23121.3,14328.8,15393.9,8118,25527.9,19289.1,18519.7,13793.7,36598.6,7038,1729.4,9769.4,17404.4,6449.4,8194.8,618.8,8611.2,3206.2,842.9,1253.7,3249.8
13134.9,4188.1,10191.4,5699.2,4415.9,8597.1,3812.9,4794.1,12588.2,29612.5,20916.7,12662.5,13703,7198.5,23482.1,17274.5,16601.9,12500,33303.2,6349.8,1547.3,8728.4,15519.7,5651.9,7222.7,539.1,7680.7,2984.2,769.9,1130.6,3005.2
12271.9,3963.2,9367.5,5345.1,4103.5,8364.8,3571.7,4471,11605.7,26710.1,18910.7,11190.8,12273,6419.8,21550.9,15475.8,14847.9,11241.4,30326.8,5771.5,1409.4,7667.6,13834.4,4925.2,6390.8,477.1,6859.1,2737.1,694.6,1039.8,2769.6
9638,4738.7,11820.5,5717.9,5657.6,11857,6080.9,7015.3,9303.5,23458.1,17835.3,7957,9346.7,5292.6,25111.5,14005,12449.3,10723.5,28471.1,5772.8,1224.5,5710.7,12393,2936.9,4632.9,364.5,5918.7,2668.3,620.8,737.2,2436.5
8872.1,4470.4,10516.7,5139.3,5114.2,10581.4,5426.4,6251.2,8557,20878.2,15970.8,7044.7,8275.3,4696.1,22294.8,12426.6,11035.9,9509.5,25453.9,5133.1,1090.9,5055.8,11001,2601.2,4112.6,322.2,5245,2368.8,549.6,668.5,2179.5
8123.5,3921.4,9254,4506.8,4572.5,9304.2,4772.9,5491,7840.4,18411.1,14199.6,6142.8,7256.5,4123.3,19651.9,10915.6,9682.4,8318.7,22677.1,4516.6,950.2,4403,9622,2266.3,3597.9,277.9,4581.6,2064.4,480.3,590.5,1916.1
7222.2,3395.1,8035.5,3903.4,3991.7,8095.3,4119.8,4750.1,7185.8,16058.3,12532.8,5288.2,6276.2,3560.5,17155.5,9453.6,8363.3,7209,20297.5,3908.2,822.5,3782.3,8290.8,1899.9,3105.9,237.5,3900.6,1772.9,413.4,515.5,1662.4
6340.3,2860.2,6821.8,3318.2,3384,6887.6,3504.9,4039.2,6186.6,13606.3,10387,4300.5,5310,2971,14620.3,8004.2,7014.4,5952.6,17458.4,3312,663.8,3051.1,6884.8,1531.6,2555.8,192.4,3257.5,1435.5,351,418.5,1386.1
5309.9,2430.8,5764.9,2809,2855.3,5812.6,2957.3,3401.8,5173.2,11484.1,8622.3,3527.8,4481,2484.4,12363,6746.4,5928.4,4913.7,14891.8,2790.7,537.5,2479,5758.7,1247.3,2051.1,156.6,2699.7,1183,300.5,339.3,1177.5
4645.5,2078.7,4991.1,2421.1,2463,5032.4,2549.2,2928.3,4577.2,9905.1,7533.3,3045.2,3866.7,2142,10658.8,5815.4,5109.7,4222.6,12986.6,2395.8,463.2,2147.1,4944.8,1075.2,1764.7,130,2317.1,1023.6,259.7,295.4,1041.5
3835.2,1650.6,4053.8,1953.3,1964,4097.8,2038.3,2386.2,3873.3,7985.9,6271.3,2451.9,3212.3,1718.9,8607.5,4690.3,4115.8,3419.2,10731.3,1932.7,370.9,1711.1,4105.6,858.2,1422.5,112.6,1837.3,854.4,212.6,239.5,857.5
3295.3,1383.1,3435.7,1635.4,1628.6,3471.6,1697.6,2029,3375.2,6706.2,5358,2056.5,2717.6,1448.2,7217.1,3932.6,3461.1,2869.4,9194.3,1620.3,313.4,1431.5,3472.5,710,1204.8,90,1542.4,729.5,182.6,202.5,733.2
2911.7,1201.6,2969.5,1410.7,1358.1,3014.4,1470.3,1773.8,2979.5,5735.5,4645.9,1776.7,2351.7,1244.9,6166.9,3380.9,2985.9,2474.3,7915.5,1405.5,270.8,1227.8,3003.5,615.7,1041.3,73.2,1331.3,638.1,161.6,175.8,640.2
