地区,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,49843.1,47353.7,45222.4,44350.7,38503.6,37767,35161.4,31325.9,28438.7,26034.1,23577.5,21746,19568.3,17653.3,15420.2,13335.7,12167.6,10730.4,8618.9,7327.4
天津市,18024.3,17211.8,16588.5,16093.2,14230.8,14097.2,13411.1,12468.2,11487,10889.2,10749.2,10075.2,9193,8240.8,6991.6,5828.6,5278.3,4229.8,3592.5,3203.6
河北省,47526.9,45660,43198.3,41205.4,36821.5,35623.5,32947,31065.5,28879.7,26744.1,25644.1,24659.1,23437.3,21711.7,18254.1,15540.3,14403.8,12317.6,10178.1,8886.2
山西省,25494.7,26050.8,25653.2,23087.8,18202.7,17311,16153.1,14679.1,12160.1,12036.1,12307,12171.8,11819.7,11005.1,9004.5,7231.2,7295.8,5991.9,4758.7,4118
内蒙古自治区,26314.6,25020.5,23795.7,21584.8,17623.4,17479.4,16252.9,15009.9,13879,13062.7,12377.3,11584.9,10638.9,9610.8,8342.1,7227,6352.4,5239.6,4212.3,3562.7
辽宁省,32612.7,31389.8,29739.7,28471,25839,25665.9,24113.5,22105.4,20832,20657.8,20381.5,19534.3,18127.6,16585.3,14105.8,13003.2,12303,10422.8,8489.3,7342.2
吉林省,14361.2,13942.7,13121.4,13431.1,12499.5,11949.4,11437.4,11083,10603.5,10162.9,10077,9608.6,8831.3,7857.7,6505.9,5515.3,4905.4,4134.7,3271.5,2810.1
黑龙江省,16476.9,16470.7,16359.2,15292.8,14000.1,13962.5,13205.7,12659.5,12280.9,12023.2,12357.1,12017,11171,10074,8434.7,7315.8,7215.1,6193.7,5386.1,4804.5
上海市,53926.7,51404.5,48594.5,47059.4,41603.9,40241.2,37769.1,34378.3,30963.9,27821.6,25964.5,23809.4,21774.9,20406.1,18319.6,16181.4,14877.1,13179.8,10825.4,9398.8
江苏省,137008,130924.3,124564.2,119853.2,104566.6,99836.9,93456.3,86512.9,78261.2,71876,66228.3,60505.2,54658.4,49689.5,42175.2,35074.6,31445.7,26373.8,21525.1,18345.9
浙江省,90130.6,85619.6,80770,76765.3,67164.5,64632,59311.7,53135.2,48095.8,44222,40744.1,38023.3,34978.5,32353.1,27902.2,23227.5,21607.9,18914.7,15516.4,13212.6
安徽省,50625.2,48227.5,45525.1,43102.8,38628.8,37584.8,34377.3,30141.8,26801.2,24142.7,22880.7,20888.2,18613.7,16532.7,13474.6,11063.3,9691.2,8078,6602.6,5761.7
福建省,57761,54801.7,52099.6,49602.6,43682,42479.1,39204.8,34432.2,30199.2,27307.5,25329.4,22851.7,20510.8,18195.2,15236.6,12625.1,11104.2,9474.3,7586.2,6506.9
江西省,34202.5,32677.1,31568.1,29838.2,25825.4,24724,23016.9,20497.6,18761.2,17031.1,15858.6,14473.4,12952.8,11717.4,9503.4,7733,7028.7,5847.3,4752.4,3991.8
山东省,98565.8,94206.4,89519.4,84838,74355.9,72024.3,67864.4,63958.6,59702.6,56159.1,51552.7,48058.1,43584.3,39622,34429.4,29957.2,27460.2,22994.5,19184,16120.9
河南省,63590,60627.7,58807.4,57806.9,54160.6,53739.3,50273.5,44586.5,40167.7,36798.2,34611.2,31621.4,28878.5,26212.2,22568.2,19077.1,17541.9,14773.2,11974.6,10199.5
湖北省,60013,56794.3,53445.4,50093.3,43017.6,45557,42425.5,37624.2,33767.6,30661.6,28805.9,25851.7,22921,20228.3,16489.1,13422.6,11707.8,9601.8,7636.7,6548.8
湖南省,53231,50667.5,47957.9,45751.9,41693.7,39930.7,36629.3,34127.7,31225,28811.7,26309.1,23916.3,21513.7,19176.4,15814.9,12965.9,11466.6,9409.9,7529.2,6451.7
广东省,141633.8,137905.4,132547.1,127577.4,113708.9,110468.1,101875.9,93004.8,83493.4,75820.8,69593.4,63757.3,58057.6,54009.6,46821.3,40215.7,37351.5,32308.5,26403.1,22366.1
广西壮族自治区,28649.4,27501.7,26419.7,25311.5,22250.7,21341.5,19951.7,18071.7,16417.2,15030.2,13856.7,12680.6,11496.6,10472.7,8712,7243.4,6561.9,5556.4,4479.8,3789.5
海南省,7935.7,7590.2,6912.8,6508.9,5640.8,5442.1,5004.2,4552.9,4151,3782.7,3541.2,3201.9,2863.6,2525.1,2073.7,1652.2,1502,1252.8,1040.3,896.1
重庆市,32193.2,30614.3,28771.8,28092.5,25158.1,23689.6,21866.8,20260.8,18271.1,16305.9,14911.7,13275.8,11797.8,10314.1,8186.5,6744.1,5978.8,4837.5,3949,3491.6
四川省,64697,61353.4,57609.4,55131.3,49445.1,47168.6,43539,38517.1,33879.2,30829.1,29357.5,26858.4,24224.9,21313.1,17466.7,14396.2,12941.4,10694.5,8602.1,7287.4
贵州省,22667.1,21513.7,20579.5,19921.3,18308.3,17251.8,15886.6,14067.3,12133.9,10887.1,9297.5,8079.9,6828.1,5690.5,4583.7,3910.7,3551.3,2883,2292.3,1964.2
云南省,31534.1,30595.8,29301.1,27895.3,25214.5,23902.1,21427.5,18864.6,16773.6,15358.6,14275.1,13027,11266.3,9666.2,7869.9,6690.2,6120.6,5166,4157.7,3553.3
西藏自治区,2764.9,2532.9,2235.4,2145.1,1956.5,1750.3,1583.5,1381,1197.4,1063.6,954.8,840.3,721.1,620.8,521.4,453,405.2,349.8,290.6,247
陕西省,35538.8,33976.5,33035.6,30476.6,26297,26214.5,24354.8,21776.1,19354.6,18188.3,17635.6,16106.3,14311.5,12320.1,9973,8094.9,7256.8,5739.7,4642.1,3857.4
甘肃省,13002.9,12345.7,11553.6,10608,9323.1,9053.3,8364.7,7642.6,7207.1,6793.4,6629.4,6108.3,5469.1,4880.7,3987.7,3313.8,3112.5,2707.3,2230,1890.9
青海省,3950.8,3849.2,3677.4,3446.3,3080.6,3020.2,2799.9,2517,2310.7,2054.3,1875.1,1736.1,1547.9,1388.3,1160.8,953.3,909.2,729.4,592.7,506
宁夏回族自治区,5502.8,5368.8,5168.1,4666.5,4036.2,3841.5,3580.6,3271.6,2853.3,2644.7,2516.4,2364.9,2162,1959.3,1595.3,1284.8,1153.7,887.9,691.6,587.2
新疆维吾尔自治区,20534.1,19603.3,18550.5,16791.5,14262.2,14024.9,13110.1,11460.8,9913.9,9545.7,9400.2,8518.4,7499.5,6607.6,5425.4,4289.5,4183.9,3536.4,2984.5,2543
